word,rank,frequency
treasures,1083,61
upward,1084,61
household,1085,61
fifth,1086,61
oath,1087,61
pleasure,1088,61
Job,1089,61
baptized,1090,61
think,1091,61
ran,1092,61
dominion,1093,61
harvest,1094,61
Abram,1095,61
Have,1096,61
Asa,1097,60
Nebuchadnezzar,1098,60
despised,1099,60
speaking,1100,60
apostles,1101,60
always,1102,60
loud,1103,60
hated,1104,60
seventy,1105,60
Mordecai,1106,60
journey,1107,60
unleavened,1108,60
Damascus,1109,60
fields,1110,59
horsemen,1111,59
devil,1112,59
yoke,1113,59
months,1114,59
order,1115,59
Jehu,1116,59
governor,1117,59
captive,1118,59
lieth,1119,59
Bashan,1120,59
gift,1121,59
evening,1122,59
endureth,1123,59
since,1124,59
raise,1125,59
Fear,1126,59
whence,1127,59
pour,1128,59
escaped,1129,58
dwelleth,1130,58
weight,1131,58
escape,1132,58
officers,1133,58
exceeding,1134,58
Every,1135,58
lived,1136,58
habitation,1137,58
seat,1138,58
Their,1139,58
except,1140,58
Elisha,1141,58
lead,1142,58
flour,1143,58
free,1144,58
burning,1145,58
Esther,1146,57
god,1147,57
kingdoms,1148,57
Master,1149,57
next,1150,57
Almighty,1151,57
thoughts,1152,57
remembered,1153,57
dealt,1154,57
nakedness,1155,57
afterward,1156,57
once,1157,57
named,1158,57
raiment,1159,57
pleasant,1160,56
choose,1161,56
slaughter,1162,56
drive,1163,56
season,1164,56
lying,1165,56
tables,1166,56
honey,1167,56
person,1168,56
persons,1169,56
Satan,1170,56
edge,1171,56
eateth,1172,56
Pilate,1173,56
countries,1174,55
altars,1175,55
Laban,1176,55
forsake,1177,55
fowls,1178,55
Saying,1179,55
devils,1180,55
wonders,1181,55
violence,1182,55
consume,1183,55
widow,1184,55
Canaanites,1185,55
forgive,1186,55
spoiled,1187,55
graven,1188,55
mingled,1189,55
deal,1190,55
food,1191,55
iniquities,1192,55
consider,1193,54
sockets,1194,54
standing,1195,54
sepulchre,1196,54
Or,1197,54
Unto,1198,54
redeem,1199,54
Mary,1200,54
foundation,1201,54
afflicted,1202,54
appear,1203,54
seeth,1204,54
scribe,1205,54
swear,1206,54
queen,1207,54
savour,1208,54
beyond,1209,54
remained,1210,53
She,1211,53
signs,1212,53
immediately,1213,53
Zadok,1214,53
devoured,1215,53
gifts,1216,53
Though,1217,53
beheld,1218,53
Noah,1219,53
forget,1220,53
promise,1221,53
Josiah,1222,53
countenance,1223,53
Haman,1224,53
chamber,1225,52
observe,1226,52
foolish,1227,52
heareth,1228,52
terrible,1229,52
watch,1230,52
garden,1231,52
Jehoiada,1232,52
dwelling,1233,52
scarlet,1234,52
fair,1235,52
held,1236,52
too,1237,51
past,1238,51
shed,1239,51
coasts,1240,51
doctrine,1241,51
risen,1242,51
With,1243,51
ends,1244,51
mourning,1245,51
goodness,1246,51
judges,1247,51
cedar,1248,51
No,1249,51
remembrance,1250,51
afar,1251,51
home,1252,51
ourselves,1253,51
trumpets,1254,51
talents,1255,51
guard,1256,51
stars,1257,51
